id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
221;Glorieta de Cádiz;0;213;Antonio López, 129;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.70017, 40.38895]};2020-12-13T12:55:03.723690
222;Condesa de Venadito;2;214;Condesa de Venadito, 2 / Calle Albacete;1;0;24;11;9;0;{'type': 'Point', 'coordinates': [-3.65741, 40.44315]};2020-12-13T12:55:03.723690
223;Gutierre de Cetina;1;215;Gutierre de Cetina, 77;1;0;24;15;6;0;{'type': 'Point', 'coordinates': [-3.640994, 40.429706]};2020-12-13T12:55:03.723690
224;Puerta del Ángel;2;216;Plaza Puerta del Ángel, 4;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.728318, 40.413764]};2020-12-13T12:55:03.723690
225;Pedro Rico;2;217;Pedro Rico, 4;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.688463, 40.481086]};2020-12-13T12:55:03.723690
226;Camino Vinateros;1;218;Camino Vinateros, 28;1;0;24;17;5;0;{'type': 'Point', 'coordinates': [-3.65779, 40.41053]};2020-12-13T12:55:03.723690
227;Marroquina;2;219;Camino Vinateros, 108;1;0;24;8;13;0;{'type': 'Point', 'coordinates': [-3.646697, 40.408264]};2020-12-13T12:55:03.723690
228;Plaza del Encuentro;2;220;Calle Arroyo de las Pilillas, 6;1;0;24;8;16;0;{'type': 'Point', 'coordinates': [-3.65122, 40.40617]};2020-12-13T12:55:03.723690
229;Pavones;0;221;Hacienda de Pavones, 342;1;0;24;3;19;0;{'type': 'Point', 'coordinates': [-3.634587, 40.400368]};2020-12-13T12:55:03.723690
230;Antonio López;0;222;Eugenio Caxes, frente al 12;1;0;24;7;17;0;{'type': 'Point', 'coordinates': [-3.7026789, 40.3917871]};2020-12-13T12:55:03.723690
231;Ermita Santo;2;223;Paseo de la Ermita del Santo, 48;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.7244893989507686, 40.406837862773465]};2020-12-13T12:55:03.723690
232;Caramuel;0;224;Caramuel, 51;1;0;27;2;18;0;{'type': 'Point', 'coordinates': [-3.728533714316331, 40.40913630273305]};2020-12-13T12:55:03.723690
