id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
108;Ortega y Gasset;2;103;Calle Ortega y Gasset nº 6;1;0;24;13;9;1;{'type': 'Point', 'coordinates': [-3.68653, 40.43037]};2020-12-13T12:55:03.723690
109;Castellana;2;104;Paseo de la Castellana nº 4;1;0;21;11;9;0;{'type': 'Point', 'coordinates': [-3.68958, 40.42677]};2020-12-13T12:55:03.723690
110;Serrano;2;105;Calle Serrano nº 54;1;0;24;8;16;0;{'type': 'Point', 'coordinates': [-3.68745, 40.42699]};2020-12-13T12:55:03.723690
111;Colón A;2;106a;Calle Serrano nº 34;1;0;18;8;9;0;{'type': 'Point', 'coordinates': [-3.6877227, 40.4251002]};2020-12-13T12:55:03.723690
112;Colón B;2;106b;Calle Serrano nº 34;1;0;18;6;10;0;{'type': 'Point', 'coordinates': [-3.687745, 40.424963]};2020-12-13T12:55:03.723690
113;Columela;0;107;Calle Serrano nº 6;1;0;24;4;20;0;{'type': 'Point', 'coordinates': [-3.6884369, 40.4215246]};2020-12-13T12:55:03.723690
114;Mártires Concepcionistas;0;108;Calle Mártires Concepcionistas nº 2;1;0;27;6;20;0;{'type': 'Point', 'coordinates': [-3.6706024, 40.4273005]};2020-12-13T12:55:03.723690
115;Marqués de Salamanca;0;109;Calle José Ortega y Gasset nº 30;1;0;24;7;16;0;{'type': 'Point', 'coordinates': [-3.6816402, 40.4300481]};2020-12-13T12:55:03.723690
116;Moncloa;2;110;Paseo de Moret nº 2;1;0;24;12;10;0;{'type': 'Point', 'coordinates': [-3.7200845, 40.4347895]};2020-12-13T12:55:03.723690
117;Arcipreste de Hita A;2;111a;Calle Arcipreste de Hita nº 12;1;0;24;13;10;0;{'type': 'Point', 'coordinates': [-3.7175435, 40.4337322]};2020-12-13T12:55:03.723690
118;Arcipreste de Hita B;2;111b;Calle Arcipreste de Hita nº 12;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.7179687, 40.4341006]};2020-12-13T12:55:03.723690
119;Paseo de Moret;2;112;Paseo de Moret nº 11;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.7246532, 40.4325991]};2020-12-13T12:55:03.723690
120;Pintor Rosales;0;113;Paseo del Pintor Rosales nº 38;1;0;24;7;17;0;{'type': 'Point', 'coordinates': [-3.7205129, 40.427657]};2020-12-13T12:55:03.723690
121;Quintana;0;114;Calle Quintana nº 11-13;1;0;24;5;19;0;{'type': 'Point', 'coordinates': [-3.7174158, 40.4277456]};2020-12-13T12:55:03.723690
122;Ferraz;2;115;Calle Evaristo San Miguel nº 2;1;0;24;11;12;0;{'type': 'Point', 'coordinates': [-3.7170448, 40.4253944]};2020-12-13T12:55:03.723690
123;Plaza de España A;2;116a;Plaza de España;1;0;24;14;10;0;{'type': 'Point', 'coordinates': [-3.711603, 40.42402]};2020-12-13T12:55:03.723690
124;Plaza de España B;2;116b;Plaza de España;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.711703, 40.42412]};2020-12-13T12:55:03.723690
125;Altamirano;2;117;Calle Altamirano nº 24;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.7188898, 40.4309797]};2020-12-13T12:55:03.723690
126;Juan Martín;2;118;Calle Juan Martín el Empecinado nº 14;1;0;24;16;7;0;{'type': 'Point', 'coordinates': [-3.6882407, 40.400781]};2020-12-13T12:55:03.723690
127;Méndez Álvaro;2;119;Calle Méndez Álvaro nº 11;1;0;24;15;7;0;{'type': 'Point', 'coordinates': [-3.6863218, 40.4013216]};2020-12-13T12:55:03.723690
128;Palos de la Frontera;2;120;Calle Palos de la Frontera nº 40;1;0;24;16;7;0;{'type': 'Point', 'coordinates': [-3.6944768, 40.4032208]};2020-12-13T12:55:03.723690
129;Santa María de la Cabeza;2;121;Paseo de Santa María de la Cabeza nº 58;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.6987665, 40.4017926]};2020-12-13T12:55:03.723690
130;Santa Engracia 14;2;122;Calle Santa Engracia nº 14;1;0;24;7;15;0;{'type': 'Point', 'coordinates': [-3.6967169, 40.4291992]};2020-12-13T12:55:03.723690
131;Guzmán el Bueno;0;123;Calle Guzmán el Bueno nº 2;1;0;24;5;17;0;{'type': 'Point', 'coordinates': [-3.7133412, 40.4306458]};2020-12-13T12:55:03.723690
169;Manuel Silvela;2;124;Calle Manuel Silvela nº 20;1;0;24;12;9;0;{'type': 'Point', 'coordinates': [-3.6993465, 40.4309524]};2020-12-13T12:55:03.723690
164;General Martínez Campos ;2;125;Calle Fernández de la Hoz nº 29;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.6948626, 40.435285]};2020-12-13T12:55:03.723690
163;General Álvarez de Castro;2;126;Calle del General Álvarez de Castro nº 2;1;0;24;8;13;0;{'type': 'Point', 'coordinates': [-3.7015686, 40.4344731]};2020-12-13T12:55:03.723690
168;Fernando el Católico;2;127;Calle Fernando el Católico nº 19;1;0;24;13;11;0;{'type': 'Point', 'coordinates': [-3.708439, 40.4338516]};2020-12-13T12:55:03.723690
160;Cea Bermúdez;2;128;Calle Cea Bermúdez nº 59;1;0;27;12;9;0;{'type': 'Point', 'coordinates': [-3.7154329, 40.438994]};2020-12-13T12:55:03.723690
161;José Abascal;0;129;Calle José Abascal nº 33;1;0;24;0;22;0;{'type': 'Point', 'coordinates': [-3.6982353, 40.4383865]};2020-12-13T12:55:03.723690
157;Santa Engracia 127;2;130;Calle Santa Engracia nº 127;1;0;20;6;11;0;{'type': 'Point', 'coordinates': [-3.70164, 40.44156]};2020-12-13T12:55:03.723690
156;Bravo Murillo 44;0;131;Calle Bravo Murillo nº 44;1;0;24;4;20;0;{'type': 'Point', 'coordinates': [-3.7040344, 40.4418402]};2020-12-13T12:55:03.723690
149;Glorieta de los Cuatro Caminos;0;132;Calle Santa Engracia nº 168;1;0;24;2;14;1;{'type': 'Point', 'coordinates': [-3.7036675, 40.4463667]};2020-12-13T12:55:03.723690
150;Raimundo Fernández;0;133;Calle Raimundo Fernández Villaverde nº 33-35;1;0;24;1;23;0;{'type': 'Point', 'coordinates': [-3.7001669, 40.447125]};2020-12-13T12:55:03.723690
153;Agustín de Betancourt;0;134;Calle María de Guzmán nº 58;1;0;24;3;19;0;{'type': 'Point', 'coordinates': [-3.6956047, 40.4440297]};2020-12-13T12:55:03.723690
158;Plaza de San Juan de la Cruz;0;135;Plaza de San Juan de la Cruz nº 11;1;0;24;3;21;0;{'type': 'Point', 'coordinates': [-3.6927821, 40.4415974]};2020-12-13T12:55:03.723690
151;Castellana 106;2;136;Paseo de la Castellana nº 106;1;0;24;14;9;1;{'type': 'Point', 'coordinates': [-3.690861, 40.4453307]};2020-12-13T12:55:03.723690
152;Plaza de la República Argentina;2;137;Plaza de la República Argentina nº 6-7;1;0;24;10;14;0;{'type': 'Point', 'coordinates': [-3.6853312, 40.445411]};2020-12-13T12:55:03.723690
154;Paseo de la Castellana con Raimundo Fernández;2;138;Paseo de la Castellana nº 67;1;0;24;13;8;0;{'type': 'Point', 'coordinates': [-3.6917932, 40.4457414]};2020-12-13T12:55:03.723690
159;José Gutiérrez Abascal ;0;139;Calle José Gutiérrez Abascal nº 2;1;0;24;6;16;0;{'type': 'Point', 'coordinates': [-3.6907784, 40.4396792]};2020-12-13T12:55:03.723690
162;Velázquez 130;0;140;Calle Velázquez nº 130;1;0;27;7;18;0;{'type': 'Point', 'coordinates': [-3.6831578, 40.4385127]};2020-12-13T12:55:03.723690
165;Pº Castellana - Glorieta de Emilio Castelar;0;141;Paseo de la Castellana nº 43;1;0;12;2;9;0;{'type': 'Point', 'coordinates': [-3.6892368, 40.4355143]};2020-12-13T12:55:03.723690
167;Castellana 42;2;142;Paseo de la Castellana nº 42;1;0;24;11;11;0;{'type': 'Point', 'coordinates': [-3.6879154, 40.4334087]};2020-12-13T12:55:03.723690
166;Diego de León 52;0;143;Calle Diego de León nº 52;1;0;24;6;16;1;{'type': 'Point', 'coordinates': [-3.678492, 40.4345973]};2020-12-13T12:55:03.723690
170;Juan Bravo 50;0;144;Calle Juan Bravo nº 50;1;0;24;0;22;1;{'type': 'Point', 'coordinates': [-3.6758555, 40.4323655]};2020-12-13T12:55:03.723690
171;Ortega y Gasset 87;0;145;Calle Ortega y Gasset nº 87;1;0;24;5;19;0;{'type': 'Point', 'coordinates': [-3.6712823, 40.429887]};2020-12-13T12:55:03.723690
155;María Francisca 1;1;146;Calle María Francisca nº 1;1;0;18;12;3;0;{'type': 'Point', 'coordinates': [-3.6787169, 40.4442258]};2020-12-13T12:55:03.723690
148;Doctor Arce 45;2;147;Avenida del Doctor Arce nº 45;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6797296, 40.4483269]};2020-12-13T12:55:03.723690
144;Serrano 210;2;148;Calle Serrano nº 210;1;0;24;7;15;0;{'type': 'Point', 'coordinates': [-3.6817962, 40.4510188]};2020-12-13T12:55:03.723690
146;Paseo de la Habana 42;1;149;Paseo de la Habana nº 42;1;0;24;17;6;0;{'type': 'Point', 'coordinates': [-3.6881689, 40.4498613]};2020-12-13T12:55:03.723690
147;Castellana frente a Hermanos Pinzón;0;150;Paseo de la Castellana nº 124;1;0;24;7;16;0;{'type': 'Point', 'coordinates': [-3.6905604, 40.4488924]};2020-12-13T12:55:03.723690
145;Orense 12;0;151;Calle Orense nº 12;1;0;24;3;19;0;{'type': 'Point', 'coordinates': [-3.6952943, 40.4489101]};2020-12-13T12:55:03.723690
142;General Perón 1;2;152;Avenida del General Perón nº 1-4;1;0;24;9;13;0;{'type': 'Point', 'coordinates': [-3.6990077, 40.4527164]};2020-12-13T12:55:03.723690
143;General Perón con Poeta Joan Maragall;2;153;Avenida del General Perón nº 36;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.693085, 40.4522454]};2020-12-13T12:55:03.723690
141;Orense 36;0;154;Calle Orense nº 36;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.6946218, 40.4548456]};2020-12-13T12:55:03.723690
139;San Germán;0;155;Calle del General Yagüe nº 57;1;0;24;1;17;1;{'type': 'Point', 'coordinates': [-3.7009675, 40.4572824]};2020-12-13T12:55:03.723690
140;Sor Ángela de la Cruz;0;156;Calle Sor Ángela de la Cruz nº 2;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.691533, 40.4592351]};2020-12-13T12:55:03.723690
137;Castellana 164;1;157;Paseo de la Castellana nº 164;1;0;24;22;1;0;{'type': 'Point', 'coordinates': [-3.6894151, 40.4591366]};2020-12-13T12:55:03.723690
138;Alberto Alcocer;0;158;Avenida de Alberto Alcocer nº 22;1;0;24;3;19;0;{'type': 'Point', 'coordinates': [-3.684715, 40.4585318]};2020-12-13T12:55:03.723690
173;Paseo de la Habana 63;1;159;Paseo de la Habana nº 63;1;0;24;20;3;0;{'type': 'Point', 'coordinates': [-3.6835926, 40.4543852]};2020-12-13T12:55:03.723690
172;Colombia;2;160;Calle Colombia nº 7;1;0;24;14;8;1;{'type': 'Point', 'coordinates': [-3.6763439, 40.4572466]};2020-12-13T12:55:03.723690
132;Paseo de la Florida;2;161;Paseo de la Florida nº 8;1;0;27;16;8;1;{'type': 'Point', 'coordinates': [-3.7224983, 40.4219665]};2020-12-13T12:55:03.723690
133;Metro Pirámides;1;162;Paseo de los Olmos nº 28;1;0;24;18;4;0;{'type': 'Point', 'coordinates': [-3.7108108, 40.4034076]};2020-12-13T12:55:03.723690
134;Paseo de la Esperanza;0;163;Paseo de la Esperanza nº 2;1;0;21;5;14;0;{'type': 'Point', 'coordinates': [-3.7064516, 40.4035988]};2020-12-13T12:55:03.723690
136;Paseo de las Delicias;0;164;Paseo de las Delicias nº 92-94;1;0;24;6;16;1;{'type': 'Point', 'coordinates': [-3.6945025, 40.3972616]};2020-12-13T12:55:03.723690
135;Entrada Matadero;0;165;Paseo de la Chopera nº 14;1;0;27;5;21;0;{'type': 'Point', 'coordinates': [-3.6975708, 40.3928821]};2020-12-13T12:55:03.723690
174;Segovia 26;0;166;Calle Segovia, 26;1;0;24;5;19;0;{'type': 'Point', 'coordinates': [-3.7135833, 40.4138333]};2020-12-13T12:55:03.723690
175;Segovia 45;0;167;Calle Segovia, 45;1;0;24;5;17;0;{'type': 'Point', 'coordinates': [-3.717487, 40.413736]};2020-12-13T12:55:03.723690
176;Batalla del Salado;1;168;Pº Sta. Mª Cabeza, 29-31;1;0;24;18;5;0;{'type': 'Point', 'coordinates': [-3.6959166, 40.4044722]};2020-12-13T12:55:03.723690
177;Pirámides;2;169;Toledo, 181;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.7138055, 40.4016111]};2020-12-13T12:55:03.723690
178;Paseo de la Esperanza;2;170;Pº Esperanza, 21;1;0;24;13;9;0;{'type': 'Point', 'coordinates': [-3.7043611, 40.401]};2020-12-13T12:55:03.723690
179;Embajadores-Cáceres;2;171;Embajadores, 101;1;0;24;16;8;0;{'type': 'Point', 'coordinates': [-3.6983888, 40.39975]};2020-12-13T12:55:03.723690
180;Delicias;1;172;Bustamante, 1;1;0;24;19;3;0;{'type': 'Point', 'coordinates': [-3.6935833, 40.4008888]};2020-12-13T12:55:03.723690
181;Puente Praga;0;173;Pº Esperanza, 59;1;0;24;3;20;0;{'type': 'Point', 'coordinates': [-3.7023918, 40.3981798]};2020-12-13T12:55:03.723690
182;Madrid Río-Yeserías;2;174;Pº Yeserías 45;1;0;27;15;12;0;{'type': 'Point', 'coordinates': [-3.7065277, 40.3974444]};2020-12-13T12:55:03.723690
183;Jaime el Conquistador;0;175;Jaime I el Conquistador, 30;1;0;21;5;16;0;{'type': 'Point', 'coordinates': [-3.6983055, 40.3962222]};2020-12-13T12:55:03.723690
184;Beata;0;176;Alicante, 3;1;0;24;2;20;1;{'type': 'Point', 'coordinates': [-3.6937222, 40.39425]};2020-12-13T12:55:03.723690
