fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;6604;240;0;8;0;N;445065,607318987;4482758,53113587
13/12/2020 12:40:07;6605;240;1;16;0;N;444093,003698914;4483422,57130069
13/12/2020 12:40:07;6606;300;1;13;0;N;444271,142438424;4483586,42904101
13/12/2020 12:40:07;3432;640;3;35;1;N;444068,167362696;4483550,7103108
13/12/2020 12:40:07;6607;0;100;48;1;S;444666,342577652;4482068,56010637
13/12/2020 12:40:07;3519;200;1;19;0;N;444886,731576992;4481995,04134164
13/12/2020 12:40:07;3520;200;1;26;1;N;444736,476524521;4481922,32640129
13/12/2020 12:40:07;6608;140;1;26;1;N;444811,736098626;4482180,25855067
13/12/2020 12:40:07;6609;300;0;15;0;N;444110,730014437;4482442,4370655
13/12/2020 12:40:07;10094;620;5;15;0;N;443478,629588949;4483090,55112079
13/12/2020 12:40:07;6611;700;16;52;2;N;443712,622878831;4482776,82375706
13/12/2020 12:40:07;6612;1420;29;51;2;N;443575,530231472;4482894,61205859
13/12/2020 12:40:07;3457;999;7;27;1;N;443381,85716459;4482796,20601958
13/12/2020 12:40:07;6613;460;4;36;1;N;443671,921393928;4482943,39386646
13/12/2020 12:40:07;6614;280;3;29;1;N;443574,885000753;4482980,84524447
13/12/2020 12:40:07;6615;560;2;18;0;N;443552,157979565;4483112,40147243
13/12/2020 12:40:07;6616;1360;9;42;1;N;443437,094085086;4482995,29680608
13/12/2020 12:40:07;6617;1100;6;28;1;N;443359,122097118;4482919,33195786
13/12/2020 12:40:07;3458;560;3;29;1;N;443433,713263475;4483131,67200254
13/12/2020 12:40:07;3459;0;96;47;1;S;443366,64625549;4482974,47959368
13/12/2020 12:40:07;6618;60;64;34;1;S;443310,098660164;4482977,81056302
13/12/2020 12:40:07;3796;860;2;37;1;N;443407,847227266;4482880,21502729
13/12/2020 12:40:07;6619;1140;8;29;1;N;443566,407282299;4482979,24195763
13/12/2020 12:40:07;6620;620;5;24;0;N;443988,909753276;4481828,30267365
13/12/2020 12:40:07;6621;480;9;42;1;N;444069,925743162;4481937,88234792
13/12/2020 12:40:07;6622;260;4;17;0;N;444066,629963536;4481941,45129786
13/12/2020 12:40:07;6623;880;7;43;1;N;444198,77288714;4482055,08787395
